Rank,Models,Size(B),Date,Overall,Overall-V3🆕,Text-Overall,Audio-Overall,Agent-Overall
12,"<a href=""https://huggingface.co/nvidia/omni-embed-nemotron-3b"">omni-embed-nemotron-3b</a>",3.0,26-07-20,42.83,36.35,36.15,36.52,36.53
13,"<a href=""https://huggingface.co/LCO-Embedding/LCO-Embedding-Omni-7B"">LCO-Embedding-Omni-7B</a>",7.0,26-07-23,39.81,31.01,31.31,43.17,27.84
14,"<a href=""https://arxiv.org/abs/2608.02148"">DME-Large</a>",unknown,26-07-17,33.12,0.0,0.0,0.0,0.0
15,"<a href=""https://docs.octen.ai/api-reference/vl-embedding"">octen-vl-embedding-large</a>",unknown,26-05-15,33.05,0.0,0.0,0.0,0.0
16,"<a href=""https://arxiv.org/abs/2608.02148"">DME-Medium</a>",9.4,26-07-17,32.35,0.0,0.0,0.0,0.0
17,QQMM-embed-v4,unknown,26-07-01,32.32,0.0,0.0,0.0,0.0
18,"<a href=""https://huggingface.co/Qwen/Qwen3-VL-Embedding-8B"">Qwen3-VL-Embedding-8B</a>",8.14,26-01-06,32.12,0.0,0.0,0.0,0.0
19,"<a href=""https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision"">seed1.6-embedding-1215</a>",unknown,25-12-18,31.77,0.0,0.0,0.0,0.0
20,"<a href=""https://docs.octen.ai/api-reference/vl-embedding"">octen-vl-embedding</a>",unknown,26-05-15,31.13,0.0,0.0,0.0,0.0
21,"<a href=""https://arxiv.org/abs/2608.02148"">DME-Small</a>",2.21,26-07-16,30.85,0.0,0.0,0.0,0.0
22,DME-Pre,2.21,26-02-11,30.63,0.0,0.0,0.0,0.0
23,WeMM-Embedding-8B,8.77,25-12-16,30.5,0.0,0.0,0.0,0.0
24,"<a href=""https://huggingface.co/Qwen/Qwen3-VL-Embedding-2B"">Qwen3-VL-Embedding-2B</a>",2.13,26-01-06,30.23,0.0,0.0,0.0,0.0
25,"<a href=""https://interestfm-tte.github.io/"">IFM-TTE-7B</a>",8.29,25-10-11,30.15,0.0,0.0,0.0,0.0
26,WeMM-Embedding-2B,2.13,25-12-16,29.37,0.0,0.0,0.0,0.0
27,"<a href=""https://github.com/360CVGroup/RzenEmbed"">RzenEmbed-v2-7B</a>",8.29,25-09-20,29.35,0.0,0.0,0.0,0.0
28,"<a href=""https://seed1-6-embedding.github.io"">seed-1.6-embedding</a>",unknown,25-06-17,29.21,0.0,0.0,0.0,0.0
29,"<a href=""https://github.com/deepglint/UniME-R1"">UniME-R1-4B</a>",4.44,unknown,29.03,0.0,0.0,0.0,0.0
30,"<a href=""https://github.com/deepglint/UniME-R1"">UniME-R1-2B</a>",2.13,unknown,28.88,0.0,0.0,0.0,0.0
31,RIME-7B,8.29,26-04-11,28.29,0.0,0.0,0.0,0.0
32,RzenEmbed-v1-7B,8.29,25-07-30,28.22,0.0,0.0,0.0,0.0
33,"<a href=""https://huggingface.co/siyrus/Btoks-Qwen3VL-2B-Instruct"">Btoks</a>",2.13,26-06-11,28.18,0.0,0.0,0.0,0.0
34,"<a href=""https://github.com/ZoengHN/Embed-RL"">Embed-RL-4B</a>",4.44,26-02-08,28.1,0.0,0.0,0.0,0.0
35,"<a href=""https://huggingface.co/OpenSearch-AI/Ops-MM-embedding-v1-7B"">Ops-MM-embedding-v1-7B</a>",8.29,25-07-02,27.7,0.0,0.0,0.0,0.0
36,"<a href=""https://github.com/ZoengHN/Embed-RL"">Embed-RL-2B</a>",2.13,26-02-08,27.56,0.0,0.0,0.0,0.0
37,"<a href=""https://huggingface.co/zhibinlan/UME-R1-7B"">UME-R1-7B</a>",8.29,25-10-20,26.44,0.0,0.0,0.0,0.0
38,RIME-2B,2.21,26-04-11,26.42,0.0,0.0,0.0,0.0
39,RzenEmbed-v1-2B,2.21,25-07-16,26.35,0.0,0.0,0.0,0.0
40,OmniMM-LI-3B-v0,4.7,26-05-05,26.15,0.0,0.0,0.0,0.0
41,"<a href=""https://huggingface.co/Urock-AI/Eddy-vl_embedding_1.9B_v1"">Eddy-vl_embedding_1.9B_v1</a>",1.93,26-03-23,26.07,0.0,0.0,0.0,0.0
42,"<a href=""https://huggingface.co/OpenSearch-AI/Ops-MM-embedding-v1-2B"">Ops-MM-embedding-v1-2B</a>",2.21,25-07-02,26.0,0.0,0.0,0.0,0.0
43,"<a href=""https://arxiv.org/abs/2503.19900"">interestFM-UIR-CAFe-7B</a>",8.03,25-07-06,24.83,0.0,0.0,0.0,0.0
44,"<a href=""https://huggingface.co/zhibinlan/UME-R1-2B"">UME-R1-2B</a>",2.21,25-10-20,24.63,0.0,0.0,0.0,0.0
45,"<a href=""https://github.com/GaryGuTC/UniME-v2"">UniME-V2-LLaVA-OneVision-7B</a>",8.03,25-10-15,24.4,0.0,0.0,0.0,0.0
46,"<a href=""https://huggingface.co/VLM2Vec/VLM2Vec-V2.0"">VLM2Vec-V2.0-Qwen2VL-2B</a>",2.21,25-12-29,23.73,0.0,0.0,0.0,0.0
47,"<a href=""https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct"">gme-Qwen2-VL-7B-Instruct</a>",8.29,25-12-29,23.66,0.0,0.0,0.0,0.0
48,"<a href=""https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct"">gme-Qwen2-VL-2B-Instruct</a>",2.21,25-12-29,22.14,0.0,0.0,0.0,0.0
49,"<a href=""https://arxiv.org/abs/2503.19900"">interestFM-UIR-CAFe-0.5B</a>",0.894,25-07-06,20.36,0.0,0.0,0.0,0.0
50,"<a href=""https://huggingface.co/TIGER-Lab/VLM2Vec-Qwen2VL-7B"">VLM2Vec-V1-Qwen2VL-7B</a>",8.29,25-12-29,19.39,0.0,0.0,0.0,0.0
51,"<a href=""https://huggingface.co/code-kunkun/LamRA-Ret-Qwen2.5VL-7b"">LamRA-Ret-Qwen2.5VL-7b</a>",8.29,25-06-28,19.32,0.0,0.0,0.0,0.0
52,"<a href=""https://huggingface.co/vidore/colpali-v1.3"">colpali-v1.3</a>",2.92,25-12-29,18.24,0.0,0.0,0.0,0.0
53,"<a href=""https://huggingface.co/TIGER-Lab/VLM2Vec-Qwen2VL-2B"">VLM2Vec-V1-Qwen2VL-2B</a>",2.21,25-12-29,17.62,0.0,0.0,0.0,0.0
54,"<a href=""https://huggingface.co/code-kunkun/LamRA-Ret"">LamRA-Ret</a>",8.29,25-12-29,17.17,0.0,0.0,0.0,0.0
55,SME-8B-V1,8.14,26-08-04,15.31,0.0,0.0,0.0,0.0
56,MMI-VL-Embedding,8.29,26-04-27,15.29,0.0,0.0,0.0,0.0
57,Taichu-Embedding-9B,9.4,26-07-30,15.21,0.0,0.0,0.0,0.0
58,SME-2B-V1,2.14,26-08-04,14.93,0.0,0.0,0.0,0.0
59,QQMM-embed-v3,8.29,25-12-30,14.9,0.0,0.0,0.0,0.0
60,SME-2B-v0.1,2.14,26-07-02,14.62,0.0,0.0,0.0,0.0
61,Taichu-Embedding-2B,2.2,26-08-11,14.55,0.0,0.0,0.0,0.0
62,"<a href=""https://github.com/QQ-MM/QQMM-embed"">QQMM-embed-v2</a>",8.29,25-09-15,14.34,0.0,0.0,0.0,0.0
63,"<a href=""https://huggingface.co/MCG-NJU/RGE"">RGE(Qwen2VL-7B)</a>",unknown,26-05-11,14.16,0.0,0.0,0.0,0.0
64,ALICE-8B (Qwen3VL-8B),unknown,26-05-11,14.14,0.0,0.0,0.0,0.0
65,UniVec-CoT-7B,8.29,unknown,14.12,0.0,0.0,0.0,0.0
66,OEmbedding-v1-7B,8.29,25-10-14,14.1,0.0,0.0,0.0,0.0
67,ReCo-7B,8.29,25-08-15,14.07,0.0,0.0,0.0,0.0
68,UniVec-7B,8.29,unknown,14.06,0.0,0.0,0.0,0.0
69,"<a href=""https://github.com/FireRedTeam/ReMatch"">ReMatch-7B</a>",8.29,25-11-24,14.04,0.0,0.0,0.0,0.0
70,dp-embedding-v3-lite,8.29,25-12-15,13.98,0.0,0.0,0.0,0.0
70,ALICE-7B (Qwen2.5VL-7B),unknown,26-05-11,13.98,0.0,0.0,0.0,0.0
72,ALICE-4B (Qwen3VL-4B),unknown,26-05-11,13.87,0.0,0.0,0.0,0.0
73,"<a href=""https://huggingface.co/MCG-NJU/RGE"">RGE(Qwen2.5VL-7B)</a>",unknown,26-05-11,13.83,0.0,0.0,0.0,0.0
74,TCE-v1,8.0,25-10-31,13.78,0.0,0.0,0.0,0.0
75,ALICE-3B (Qwen2.5VL-3B),unknown,26-05-11,13.69,0.0,0.0,0.0,0.0
76,S2R-7B,unknown,26-03-26,13.56,0.0,0.0,0.0,0.0
77,ALICE-2B (Qwen3VL-2B),unknown,26-05-11,13.45,0.0,0.0,0.0,0.0
78,"<a href=""https://github.com/FireRedTeam/ReMatch"">ReMatch-3B</a>",3.75,25-11-24,13.37,0.0,0.0,0.0,0.0
79,"<a href=""https://huggingface.co/MCG-NJU/RGE"">RGE(Qwen2.5VL-3B)</a>",unknown,25-11-20,13.36,0.0,0.0,0.0,0.0
80,"<a href=""https://huggingface.co/MCG-NJU/RGE"">RGE(Qwen2VL-2B)</a>",unknown,26-05-11,13.23,0.0,0.0,0.0,0.0
81,"<a href=""https://github.com/FireRedTeam/ReMatch"">ReMatch-2B</a>",2.21,25-11-24,13.18,0.0,0.0,0.0,0.0
82,S2R-2B,unknown,26-03-26,12.53,0.0,0.0,0.0,0.0
83,"<a href=""https://huggingface.co/OpenSearch-AI/Ops-Colqwen3-4B"">Ops-Colqwen3-4B</a>",4.44,26-01-27,10.68,0.0,0.0,0.0,0.0
84,Taichu-UniRetriever-8B,8.77,26-01-15,10.57,0.0,0.0,0.0,0.0
85,Taichu-UniRetriever-2B,2.13,26-01-15,10.33,0.0,0.0,0.0,0.0
86,"<a href=""https://huggingface.co/Alibaba-NLP/GVE-7B"">GVE-7B</a>",8.29,unknown,4.82,0.0,0.0,0.0,0.0
87,"<a href=""https://huggingface.co/jinaai/jina-embeddings-v5-omni-small"">jina-embeddings-v5-omni-small</a>",1.626,26-05-08,0.19,0.0,0.0,0.0,0.0
88,"<a href=""https://huggingface.co/jinaai/jina-embeddings-v5-omni-nano"">jina-embeddings-v5-omni-nano</a>",0.986,26-05-08,0.13,0.0,0.0,0.0,0.0
89,TCR,8.77,26-01-15,0.0,0.0,0.0,0.0,0.0
