Rank,Model,Model Type,Open Weights,Instruction Tuned,ST Compatible,Modalities,License,Release Date,Memory (MB),Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Openness Score,Openness: Open weights,Openness: Open license,Openness: Training code,Openness: Training data,Openness: Paper,Openness: Model card,Mean (Task),Mean (TaskType),BitextMining,Classification,Clustering,InstructionReranking,MultilabelClassification,PairClassification,Reranking,Retrieval,STS
11,jinaai/jina-embeddings-v5-text-nano,dense,true,true,true,text,cc-by-nc-4.0,2026-02-17,404,NA,0.113,0.212,768,8192,3,true,false,false,false,true,true,65.52,57.66,67.70,69.18,52.73,0.05,41.31,81.94,64.63,63.26,78.17
12,BidirLM/BidirLM-1.7B-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,3282,99,1.409,1.721,2048,8192,5,true,true,false,true,true,true,63.54,55.39,72.28,66.11,51.82,0.49,26.42,80.23,64.68,62.24,74.25
13,ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,dense,true,true,true,text,apache-2.0,2026-05-02,7671,96,3.633,4.022,2560,32768,4,true,true,false,false,true,true,63.78,55.02,68.59,67.12,53.04,-0.88,25.49,80.97,62.76,63.99,74.07
14,intfloat/multilingual-e5-large-instruct,dense,true,true,true,text,mit,2024-02-08,1068,99,0.304,0.56,1024,514,4,true,true,false,false,true,true,63.22,55.09,80.13,64.94,50.75,-0.40,22.97,80.86,62.60,57.11,76.81
15,BidirLM/BidirLM-1B-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,1907,99,0.698,1,1152,32768,5,true,true,false,true,true,true,63.21,54.84,72.88,66.22,50.04,-0.22,25.15,79.68,63.71,61.61,74.52
16,ICT-TIME-and-Querit/BOOM_4B_v1,dense,true,true,true,text,apache-2.0,2026-01-31,7671,97,3.633,4.022,2560,32768,4,true,true,false,false,true,true,63.52,54.81,69.25,66.94,52.80,-0.55,25.41,80.92,61.88,62.21,74.40
17,codefuse-ai/F2LLM-v2-0.6B,dense,true,true,true,text,apache-2.0,2026-03-09,2274,88,0.441,0.596,1024,40960,6,true,true,true,true,true,true,62.74,55.02,70.31,64.06,56.58,1.39,25.23,78.95,65.14,59.30,74.22
18,google/embeddinggemma-300m,dense,true,true,true,text,gemma,2025-09-04,1155,99,0.106,0.308,768,2048,3,true,false,false,false,true,true,61.15,54.31,64.40,60.90,51.17,5.61,24.82,81.40,63.25,62.49,74.73
19,Alibaba-NLP/gte-Qwen2-1.5B-instruct,dense,true,true,true,text,apache-2.0,2024-07-29,6776,NA,1.31,1.543,8960,32768,4,true,true,false,false,true,true,,,62.51,,,0.74,24.02,81.58,62.58,60.78,
20,Lajavaness/bilingual-embedding-large,dense,true,false,true,text,apache-2.0,2024-06-24,2136,98,0.304,0.56,1024,514,4,true,true,false,false,true,true,,,73.55,,,-3.04,22.36,79.83,61.42,55.10,
21,BidirLM/BidirLM-0.6B-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,1137,99,0.44,0.596,1024,8192,5,true,true,false,true,true,true,60.42,52.85,67.55,62.50,49.52,1.17,24.10,78.38,62.65,59.06,70.74
22,codefuse-ai/F2LLM-v2-330M,dense,true,true,true,text,apache-2.0,2026-03-09,1275,88,0.198,0.334,896,40960,6,true,true,true,true,true,true,60.84,53.27,69.80,61.69,54.69,-1.65,24.56,77.79,63.35,56.50,72.73
23,NovaSearch/stella_en_1.5B_v5,dense,true,true,true,text,mit,2024-07-12,5887,90,1.307,1.54,8960,131072,5,true,true,true,false,true,true,56.53,49.96,58.56,56.69,49.71,0.21,21.84,78.47,61.37,52.84,69.91
24,NovaSearch/jasper_en_vision_language_v1,dense,true,true,true,text,apache-2.0,2024-12-11,3802,90,1.332,1.565,8960,131072,6,true,true,true,true,true,true,,,60.63,,,0.26,22.66,,,55.12,
25,OrdalieTech/Solon-embeddings-large-0.1,dense,true,false,false,text,mit,2023-12-09,2136,NA,0.304,0.56,1024,514,3,true,true,false,false,false,true,,,76.10,,43.86,-3.48,21.40,78.72,62.02,55.69,72.98
26,jinaai/jina-embeddings-v3,dense,true,true,true,text,cc-by-nc-4.0,2024-09-18,1092,99,0.316,0.572,1024,8192,3,true,false,false,false,true,true,58.37,50.66,65.25,58.77,45.65,-1.34,18.38,79.27,57.09,55.76,77.13
27,BAAI/bge-m3,dense,true,false,true,text,mit,2024-06-28,2167,98,0.312,0.568,1024,8192,5,true,true,false,true,true,true,,,,60.35,40.88,-3.11,20.10,80.76,62.79,54.59,74.12
28,intfloat/multilingual-e5-large,dense,true,true,true,text,mit,2024-02-08,2136,99,0.304,0.56,1024,514,4,true,true,false,false,true,true,,,73.81,,,-3.05,20.43,,,,73.30
29,Alibaba-NLP/gte-multilingual-base,dense,true,false,true,text,apache-2.0,2024-07-20,582,99,0.113,0.305,768,8192,4,true,true,false,false,true,true,,,71.79,,,-0.74,,80.49,,,72.85
30,HIT-TMG/KaLM-embedding-multilingual-mini-v1,dense,true,false,false,text,mit,2024-08-27,1885,92,0.358,0.494,896,512,4,true,true,false,false,true,true,,,64.77,,,-1.50,20.67,77.70,60.59,54.17,
31,Lajavaness/bilingual-embedding-base,dense,true,false,true,text,apache-2.0,2024-06-26,1061,98,0.086,0.278,768,514,4,true,true,false,false,true,true,,,69.98,,,-3.84,20.68,77.44,59.41,52.96,
32,nomic-ai/nomic-embed-text-v2-moe,dense,true,true,true,text,apache-2.0,2025-02-07,1813,NA,0.142,0.475,768,512,6,true,true,true,true,true,true,57.64,49.57,60.72,60.36,44.52,-3.94,19.56,76.34,60.32,57.21,71.02
33,hotchpotch/bekko-embedding-v1-a25m,dense,true,false,true,text,mit,2026-07-28,470,98,0.025,0.123,384,8192,5,true,true,false,true,true,true,58.36,51.12,75.40,57.23,43.05,-4.83,19.11,77.81,61.45,57.52,73.35
34,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,dense,true,true,true,text,mit,2024-10-23,1885,92,0.358,0.494,896,512,4,true,true,false,false,true,true,,,64.22,,,-2.60,21.62,77.47,58.17,50.84,
35,manu/bge-m3-custom-fr,dense,true,false,true,text,,2024-04-11,2166,98,0.312,0.568,1024,8192,2,true,false,false,false,false,true,,,72.16,,40.35,-2.50,19.56,78.51,60.37,53.26,74.69
36,codefuse-ai/F2LLM-v2-160M,dense,true,true,true,text,apache-2.0,2026-03-09,607,88,0.062,0.159,640,40960,6,true,true,true,true,true,true,57.98,50.61,65.59,58.86,50.83,-3.39,23.05,76.02,60.34,54.08,70.10
37,Snowflake/snowflake-arctic-embed-l-v2.0,dense,true,true,true,text,apache-2.0,2024-12-04,2166,99,0.312,0.568,1024,8192,4,true,true,false,false,true,true,57.03,49.95,64.08,57.39,42.76,-2.47,18.94,76.71,63.67,58.36,70.11
38,Lajavaness/bilingual-embedding-small,dense,true,false,true,text,apache-2.0,2024-07-17,449,98,0.022,0.118,384,512,4,true,true,false,false,true,true,,,69.48,,,-3.36,19.17,77.07,59.31,49.55,
39,BidirLM/BidirLM-270M-Embedding,dense,true,true,true,text,apache-2.0,2026-04-07,511,99,0.1,0.268,640,32768,5,true,true,false,true,true,true,56.81,49.30,61.34,59.09,46.20,-2.24,20.72,76.72,59.65,54.59,67.66
40,zeroentropy/zembed-1,dense,true,false,true,text,cc-by-nc-4.0,2026-03-02,7672,NA,3.634,4.022,2560,32768,3,true,false,false,false,true,true,56.58,49.96,57.90,58.11,41.78,4.66,18.81,75.79,65.87,63.35,63.39
41,hotchpotch/bekko-embedding-v1-a8m,dense,true,false,true,text,mit,2026-07-28,202,98,0.008,0.106,384,8192,5,true,true,false,true,true,true,56.73,50.05,73.08,54.82,42.39,-3.34,18.59,76.47,60.54,56.27,71.64
42,intfloat/multilingual-e5-base,dense,true,true,true,text,mit,2024-02-08,1061,99,0.086,0.278,768,514,4,true,true,false,false,true,true,57.02,49.82,69.53,58.20,41.82,-2.65,19.99,77.18,60.18,52.72,71.44
43,intfloat/multilingual-e5-small,dense,true,true,true,text,mit,2024-02-08,449,99,0.022,0.118,384,512,4,true,true,false,false,true,true,,,69.40,,,-2.45,19.05,,,,
44,ibm-granite/granite-embedding-311m-multilingual-r2,dense,true,false,true,text,apache-2.0,2026-04-29,594,96,0.11,0.312,768,8192,4,true,true,false,false,true,true,55.96,49.35,57.92,53.34,44.42,-2.42,18.50,76.11,61.99,65.21,69.05
45,deepvk/USER-bge-m3,dense,true,false,true,text,apache-2.0,2024-07-05,1370,97,0.312,0.359,1024,8192,4,true,true,false,false,true,true,,,,53.19,,-2.65,18.60,,51.53,,59.53
